"","ctime","intertime","cwma","ratecat"
"1279",1397062800,0,987.096774193548,"l"
"1280",1397062800,0,609.677419354839,"l"
"1281",1397062800,0,609.677419354839,"l"
"1282",1397063400,600,600,"m"
"1283",1397063700,300,580.645161290323,"m"
"1284",1397064000,300,503.225806451613,"m"
"1285",1397064600,600,522.58064516129,"m"
"1286",1397064600,0,503.225806451613,"l"
"1287",1397065800,1200,541.935483870968,"m"
"1288",1397066100,300,551.612903225806,"m"
"1289",1397066220,120,555.483870967742,"m"
"1290",1397066400,180,464.516129032258,"m"
"1291",1397066400,0,464.516129032258,"l"
"1292",1397068020,1620,516.774193548387,"h"
"1293",1397068200,180,522.58064516129,"m"
"1294",1397068200,0,493.548387096774,"l"
"1295",1397068200,0,464.516129032258,"l"
"1296",1397070000,1800,522.58064516129,"h"
"1297",1397070000,0,522.58064516129,"l"
"1298",1397071800,1800,551.612903225806,"h"
"1299",1397073600,1800,522.58064516129,"h"
"1300",1397073600,0,493.548387096774,"l"
"1301",1397073600,0,493.548387096774,"l"
"1302",1397073900,300,483.870967741935,"m"
"1303",1397073900,0,483.870967741935,"l"
"1304",1397074200,300,425.806451612903,"m"
"1305",1397075400,1200,464.516129032258,"m"
"1306",1397076120,720,449.032258064516,"m"
"1307",1397076120,0,449.032258064516,"l"
"1308",1397076120,0,429.677419354839,"l"
"1309",1397076120,0,429.677419354839,"l"
"1310",1397078100,1980,493.548387096774,"h"
"1311",1397079000,900,522.58064516129,"m"
"1312",1397079000,0,522.58064516129,"l"
"1313",1397079000,0,503.225806451613,"l"
"1314",1397080200,1200,532.258064516129,"m"
"1315",1397080200,0,522.58064516129,"l"
"1316",1397080800,600,522.58064516129,"m"
"1317",1397080800,0,522.58064516129,"l"
"1318",1397080800,0,483.870967741935,"l"
"1319",1397080800,0,474.193548387097,"l"
"1320",1397080800,0,470.322580645161,"l"
"1321",1397081100,300,474.193548387097,"m"
"1322",1397081100,0,474.193548387097,"l"
"1323",1397081700,600,441.290322580645,"m"
"1324",1397082600,900,464.516129032258,"m"
"1325",1397082600,0,464.516129032258,"l"
"1326",1397083200,600,483.870967741935,"m"
"1327",1397083800,600,445.161290322581,"m"
"1328",1397084400,600,464.516129032258,"m"
"1329",1397084400,0,406.451612903226,"l"
"1330",1397084760,360,360,"m"
"1331",1397085600,840,387.096774193548,"m"
"1332",1397086200,600,406.451612903226,"m"
"1333",1397087040,840,423.870967741935,"m"
"1334",1397088000,960,454.838709677419,"m"
"1335",1397088000,0,445.161290322581,"l"
"1336",1397088900,900,435.483870967742,"m"
"1337",1397090700,1800,470.322580645161,"h"
"1338",1397091600,900,499.354838709677,"m"
"1339",1397093400,1800,557.41935483871,"h"
"1340",1397093400,0,557.41935483871,"l"
"1341",1397093400,0,493.548387096774,"l"
"1342",1397093400,0,464.516129032258,"l"
"1343",1397093400,0,464.516129032258,"l"
"1344",1397093400,0,464.516129032258,"l"
"1345",1397093400,0,425.806451612903,"l"
"1346",1397093700,300,435.483870967742,"m"
"1347",1397094000,300,425.806451612903,"m"
"1348",1397094300,300,435.483870967742,"m"
"1349",1397094600,300,445.161290322581,"m"
"1350",1397095200,600,464.516129032258,"m"
"1351",1397095200,0,464.516129032258,"l"
"1352",1397095620,420,468.387096774194,"m"
"1353",1397097000,1380,512.903225806452,"h"
"1354",1397097600,600,512.903225806452,"m"
"1355",1397098800,1200,522.58064516129,"m"
"1356",1397098800,0,522.58064516129,"l"
"1357",1397100600,1800,561.290322580645,"h"
"1358",1397101200,600,561.290322580645,"m"
"1359",1397102400,1200,580.645161290323,"m"
"1360",1397102760,360,592.258064516129,"m"
"1361",1397103900,1140,617.41935483871,"m"
"1362",1397106000,2100,658.064516129032,"h"
"1363",1397107560,1560,689.032258064516,"h"
"1364",1397107800,240,669.677419354839,"m"
"1365",1397109600,1800,696.774193548387,"h"
"1366",1397111700,2100,764.516129032258,"h"
"1367",1397113200,1500,783.870967741935,"h"
"1368",1397113200,0,725.806451612903,"l"
"1369",1397116800,3600,812.903225806452,"h"
"1370",1397125800,9000,1045.16129032258,"h"
"1371",1397131200,5400,1219.35483870968,"h"
"1372",1397133900,2700,1306.45161290323,"h"
"1373",1397134800,900,1335.48387096774,"m"
"1374",1397134800,0,1335.48387096774,"l"
"1375",1397134800,0,1335.48387096774,"l"
"1376",1397136600,1800,1393.54838709677,"h"
"1377",1397138400,1800,1441.93548387097,"h"
"1378",1397138400,0,1432.25806451613,"l"
"1379",1397138400,0,1422.58064516129,"l"
"1380",1397138400,0,1412.90322580645,"l"
"1381",1397138400,0,1393.54838709677,"l"
"1382",1397141400,3000,1490.32258064516,"h"
"1383",1397142000,600,1496.12903225806,"m"
"1384",1397143800,1800,1509.67741935484,"h"
"1385",1397145600,1800,1548.38709677419,"h"
"1386",1397145600,0,1509.67741935484,"l"
"1387",1397145600,0,1509.67741935484,"l"
"1388",1397146500,900,1480.64516129032,"m"
"1389",1397148300,1800,1519.35483870968,"h"
"1390",1397148840,540,1498.06451612903,"m"
"1391",1397149200,360,1498.06451612903,"m"
"1392",1397149200,0,1461.29032258065,"l"
"1393",1397149200,0,1393.54838709677,"l"
"1394",1397149200,0,1343.22580645161,"l"
"1395",1397152500,3300,1441.93548387097,"h"
"1396",1397152860,360,1395.48387096774,"m"
"1397",1397154600,1740,1383.87096774194,"h"
"1398",1397154600,0,1335.48387096774,"l"
"1399",1397154720,120,1339.35483870968,"m"
