"time","sent"
1397747255.97,"m"
1397747350.24,"h"
1397748018.85,"l"
1397748180.93,"m"
1397749064.81,"m"
1397749914.66,"m"
1397750342.65,"h"
1397750796.91,"m"
1397751752.01,"m"
1397751757.3,"l"
1397752643.72,"m"
1397753323.53,"h"
1397753482.36,"m"
1397754381.42,"m"
1397755402.43,"m"
1397756222.96,"l"
1397756366.86,"h"
1397756376.97,"m"
1397757344.46,"m"
1397758274.53,"m"
1397759117.48,"m"
1397759691.8,"h"
1397760090.76,"m"
1397760229.48,"l"
1397761100.1,"m"
1397761948.27,"m"
1397762810.78,"m"
1397762835.46,"h"
1397763688.73,"m"
1397764508.16,"l"
1397764660.11,"m"
1397765574.33,"m"
1397766119.35,"h"
1397766558.05,"m"
1397767560.56,"m"
1397768492.58,"m"
1397768825.14,"l"
1397769240.11,"h"
1397769441.62,"m"
1397770332.95,"m"
1397771292.67,"m"
1397772212.42,"m"
1397772348,"h"
1397772939.02,"l"
1397773110.85,"m"
1397773998.27,"m"
1397774847.36,"m"
1397775229.88,"h"
1397775785.94,"m"
1397776583.49,"m"
1397776775.62,"l"
1397777310.28,"m"
1397777715.58,"h"
1397777996.8,"m"
1397778687.18,"m"
1397779385.16,"m"
1397779952.79,"h"
1397780032.02,"m"
1397780187.35,"l"
1397780629.57,"m"
1397781331.95,"m"
1397782011.08,"m"
1397782031.26,"h"
1397782621.09,"m"
1397783153.33,"l"
1397783168.56,"m"
1397783681.54,"m"
1397783943.64,"h"
1397784208.62,"m"
1397784735.23,"m"
1397785271.42,"m"
1397785375.93,"l"
1397785680.44,"h"
1397785798.28,"m"
1397786276.82,"m"
1397786785.79,"m"
1397787126.35,"l"
1397787278.92,"h"
1397787306.37,"m"
1397787790.03,"m"
1397788240.35,"m"
1397788569.62,"l"
1397788692.95,"m"
1397788891.88,"h"
1397789140.36,"m"
1397789557.54,"m"
1397790019,"m"
1397790120.78,"l"
1397790534.1,"m"
1397790770.69,"h"
1397791153.46,"m"
1397791747.92,"m"
1397792307.5,"m"
1397792622.33,"l"
1397792863.82,"m"
1397792932.87,"h"
1397793532.13,"m"
1397794250.78,"m"
1397794987.52,"m"
1397795627.69,"h"
1397795744.11,"m"
1397795877.31,"l"
1397796594.09,"m"
1397797508.56,"m"
1397798703.93,"m"
1397799631.97,"h"
1397799979.53,"m"
1397800484.33,"l"
1397801453.85,"m"
1397803373.02,"m"
1397806551.4,"m"
1397810806.24,"h"
1397811696.19,"m"
1397816560.31,"l"
1397817860.62,"m"
1397820939.21,"m"
1397822936.69,"h"
1397823181.5,"m"
1397824941.23,"m"
1397826508.4,"m"
1397826873.6,"h"
1397827478.47,"l"
1397827696.13,"m"
1397828839.95,"m"
1397829928.1,"m"
1397830240.2,"h"
1397830826.01,"m"
1397831757.08,"m"
1397831801.25,"l"
